timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1769049526862,172,POST /api/customer/owners,201,Created,Petclinic Load Test 1-3,text,true,,268,343,5,5,http://4.156.9.169/api/customer/owners,172,0,0
1769049526305,935,GET /api/customer/owners,200,OK,Petclinic Load Test 1-5,text,true,,6011,176,5,5,http://4.156.9.169/api/customer/owners,935,0,0
1769049526971,341,GET /api/vet/vets,200,OK,Petclinic Load Test 1-4,text,true,,781,169,5,5,http://4.156.9.169/api/vet/vets,341,0,63
1769049527955,128,GET /api/customer/owners/{ownerId},200,OK,Petclinic Load Test 1-2,text,true,,505,179,5,5,http://4.156.9.169/api/customer/owners/10,128,0,0
1769049528830,209,POST /api/customer/owners,201,Created,Petclinic Load Test 1-1,text,true,,268,343,5,5,http://4.156.9.169/api/customer/owners,209,0,0
1769049529531,175,GET /api/customer/owners/{ownerId},200,OK,Petclinic Load Test 1-5,text,true,,415,178,5,5,http://4.156.9.169/api/customer/owners/7,175,0,0
1769049529857,167,POST /api/visit/owners/*/pets/{petId}/visits,201,Created,Petclinic Load Test 1-3,text,true,,213,285,5,5,http://4.156.9.169/api/visit/owners/*/pets/1/visits,166,0,0
1769049529187,901,GET /api/customer/owners,200,OK,Petclinic Load Test 1-4,text,true,,6279,176,5,5,http://4.156.9.169/api/customer/owners,894,0,0
1769049531335,129,GET /api/customer/owners/{ownerId},200,OK,Petclinic Load Test 1-4,text,true,,423,178,5,5,http://4.156.9.169/api/customer/owners/2,129,0,0
1769049530233,1338,GET /api/customer/owners,200,OK,Petclinic Load Test 1-2,text,true,,6286,176,5,5,http://4.156.9.169/api/customer/owners,1336,0,0
1769049531412,274,GET /api/vet/vets,200,OK,Petclinic Load Test 1-1,text,true,,788,169,5,5,http://4.156.9.169/api/vet/vets,274,0,0
1769049532094,108,GET /api/visit/owners/*/pets/{petId}/visits,200,OK,Petclinic Load Test 1-3,text,true,,128,189,5,5,http://4.156.9.169/api/visit/owners/*/pets/3/visits,108,0,0
1769049532281,388,POST /api/customer/owners/{ownerId}/pets,201,Created,Petclinic Load Test 1-5,text,true,,233,275,5,5,http://4.156.9.169/api/customer/owners/7/pets,388,0,41
1769049533053,901,GET /api/customer/owners,200,OK,Petclinic Load Test 1-4,text,true,,6368,176,5,5,http://4.156.9.169/api/customer/owners,901,0,0
1769049533703,283,GET /api/vet/vets,200,OK,Petclinic Load Test 1-1,text,true,,781,169,5,5,http://4.156.9.169/api/vet/vets,283,0,0
1769049534063,156,GET /api/customer/owners/{ownerId},200,OK,Petclinic Load Test 1-2,text,true,,505,179,5,5,http://4.156.9.169/api/customer/owners/10,156,0,0
1769049533937,847,GET /api/customer/owners,200,OK,Petclinic Load Test 1-5,text,true,,6362,176,5,5,http://4.156.9.169/api/customer/owners,847,0,0
1769049534714,186,POST /api/customer/owners,201,Created,Petclinic Load Test 1-3,text,true,,268,343,5,5,http://4.156.9.169/api/customer/owners,186,0,0
1769049535551,155,GET /api/customer/owners/{ownerId},200,OK,Petclinic Load Test 1-4,text,true,,583,178,5,5,http://4.156.9.169/api/customer/owners/1,154,0,0
1769049535878,109,GET /api/visit/owners/*/pets/{petId}/visits,200,OK,Petclinic Load Test 1-1,text,true,,209,189,5,5,http://4.156.9.169/api/visit/owners/*/pets/4/visits,109,0,0
1769049535941,275,GET /api/vet/vets,200,OK,Petclinic Load Test 1-3,text,true,,781,169,5,5,http://4.156.9.169/api/vet/vets,275,0,0
1769049536500,158,GET /api/customer/owners/{ownerId},200,OK,Petclinic Load Test 1-5,text,true,,419,178,5,5,http://4.156.9.169/api/customer/owners/4,158,0,0
